temperature,vibration,state
73.56,0.34,Healthy
108.37,1.48,Warning
146.52,2.11,Failing
88.86,0.24,Healthy
104.72,1.31,Warning
131.05,2.82,Failing
72.97,0.12,Healthy
101.71,0.8,Warning
131.43,1.66,Failing
97.76,0.33,Healthy
109.88,1.15,Warning
138.13,2.21,Failing
88.78,0.33,Healthy
100.5,1.32,Warning
125.81,2.5,Failing
97.38,0.31,Healthy
105.01,0.99,Warning
145.48,2.56,Failing
91.47,0.31,Healthy
101.41,1.27,Warning
139.19,1.97,Failing
88.2,0.16,Healthy
104.51,1.46,Warning
126.86,1.86,Failing
80.33,0.11,Healthy
107.12,0.94,Warning
146.3,2,Failing
80.48,0.27,Healthy
102.86,0.92,Warning
135.75,1.73,Failing
94.93,0.11,Healthy
100.17,0.74,Warning
149.14,2.76,Failing
73.64,0.18,Healthy
103.03,0.59,Warning
149.25,2.12,Failing
95.54,0.22,Healthy
109.24,1.44,Warning
121.45,2.35,Failing
94.57,0.15,Healthy
100.44,0.99,Warning
134.36,2.73,Failing
89.52,0.39,Healthy
103.54,1.23,Warning
141.63,2.11,Failing
97.75,0.29,Healthy
104.65,1.1,Warning
122.16,2.39,Failing
78.93,0.39,Healthy
104.95,0.51,Warning
123.51,2.95,Failing
80,0.29,Healthy
103.03,0.94,Warning
143.16,2.91,Failing
98.5,0.31,Healthy
103.16,0.81,Warning
129,1.97,Failing
86.43,0.37,Healthy
100.39,1.39,Warning
121.51,2.29,Failing
86.94,0.31,Healthy
100.06,0.89,Warning
148.65,2.7,Failing
75.59,0.31,Healthy
106.02,1.29,Warning
140.7,1.99,Failing
78.81,0.38,Healthy
109.34,1.2,Warning
147.37,2.29,Failing
90.18,0.14,Healthy
106.37,0.51,Warning
149.21,2.98,Failing
90.89,0.32,Healthy
100.09,0.89,Warning
149.47,1.77,Failing
76.26,0.34,Healthy
106.12,1.03,Warning
148.04,2.95,Failing
78.98,0.38,Healthy
100.76,1.45,Warning
141.82,2.99,Failing
79.39,0.33,Healthy
105.37,1.18,Warning
135.42,2.45,Failing
75.65,0.14,Healthy
108.53,0.91,Warning
128.64,2.07,Failing
76.97,0.44,Healthy
106.99,0.69,Warning
129.64,2.32,Failing
95.72,0.19,Healthy
106.08,0.66,Warning
136.93,1.83,Failing
93.71,0.35,Healthy
103.23,0.82,Warning
122.15,2.45,Failing
84.47,0.42,Healthy
103.49,1.15,Warning
137.96,2.26,Failing
